question,answer,keywords
패널 교체가 법적 의무 사항인가요?,"""현재 의무는 아니지만, 안전과 효율을 위해 권장됩니다.""",패널;교체가;법적;의무;사항인가요;현재;의무는;아니지만
패널 교체 시 환경 규제는 무엇인가요?,"""폐기물 처리 규정을 준수해야 합니다.""",패널;교체;환경;규제는;무엇인가요;폐기물;처리;규정을
패널 교체가 전력 판매 계약에 영향을 주나요?,"""발전량 증가로 계약 조정이 필요할 수 있습니다.""",패널;교체가;전력;판매;계약에;영향을;주나요;발전량
패널 교체 후 전력 판매 단가는 변하나요?,"""발전량에 따라 정산 금액이 달라질 수 있습니다.""",패널;교체;전력;판매;단가는;변하나요;발전량에;따라
패널 교체 후 온실가스 절감량은 얼마인가요?,"""교체 수량에 따라 다르며, 연간 수백 kg~수 톤 CO₂ 절감이 가능합니다.""",CO;패널;교체;온실가스;절감량은;얼마인가요;수량에;따라
패널 교체 후 온실가스 절감 보고서를 제공하나요?,"""네, ESG 보고서 형태로 제공합니다.""",ESG;패널;교체;온실가스;절감;보고서를;제공하나요;보고서
패널 교체 후 에너지 자립률 향상은 얼마나 되나요?,"""발전량 증가로 자립률이 10~20% 상승합니다.""",패널;교체;에너지;자립률;향상은;얼마나;되나요;발전량
패널 교체 후 발전 효율이 얼마나 오르나요?,"""신형 패널로 교체 시 발전 효율이 평균 10~20% 향상됩니다.""",패널;교체;발전;효율이;얼마나;오르나요;신형;패널로
패널 교체가 녹색금융 지원에 유리한가요?,"""네, 친환경 설비 투자로 평가받아 대출·금융 지원이 용이합니다.""",패널;교체가;녹색금융;지원에;유리한가요;친환경;설비;투자로
패널 교체가 ESG 평가 점수에 반영되나요?,"""환경(E) 부문에서 긍정적인 점수를 받을 수 있습니다.""",ESG;패널;교체가;평가;점수에;반영되나요;환경;E
패널 성능 저하율은 어떤가요?,"""연간 평균 0.5~0.8% 수준으로 성능이 저하됩니다. 한화 큐셀 모델은 연간 성능 저하율 약 0.5% 입니다. 30년 보증 특수형 모델의 경우 연 0.3~0.4%로 보고 있습니다.""",패널;성능;저하율은;어떤가요;연간;평균;수준으로;성능이
패널 교체 시 세금 감면 혜택이 있나요?,"""신재생 설비 투자세액공제 등 세제 혜택이 있습니다.""",패널;교체;세금;감면;혜택이;있나요;신재생;설비
플랫폼은 ESG 보고서를 제공하나요?,"""네, 재활용률, 탄소 절감량 등 주요 항목을 포함한 ESG 리포트를 제공합니다.""",ESG;플랫폼은;보고서를;제공하나요;재활용률;탄소;절감량;주요
수거 일정을 조정할 수 있나요?,"""네, 수거 요청 시 원하는 일정을 선택하거나 조율할 수 있습니다.""",수거;일정을;조정할;있나요;요청;원하는;선택하거나;조율할
수거된 패널의 추적은 가능한가요?,"""네, 각 패널은 고유 식별 정보를 바탕으로 수거-처리 이력이 추적됩니다.""",수거된;패널의;추적은;가능한가요;패널은;고유;식별;정보를
각 지역의 폐패널 발생량 예측이 가능한가요?,"""네, 지역별 설치 현황, 발전량 이력, 기후 데이터를 기반으로 폐패널 발생량을 예측합니다.""",지역의;폐패널;발생량;예측이;가능한가요;지역별;설치;현황
예측 정확도는 얼마나 되나요?,"""현재 약 85~90% 수준의 예측 정확도를 보이며, 지속 학습으로 향상됩니다.""",예측;정확도는;얼마나;되나요;현재;85;90;수준의
이 플랫폼은 탄소배출 절감에 기여하나요?,"""네, 재활용 및 재사용을 통해 온실가스 감축 효과를 수치화하여 제공합니다.""",플랫폼은;탄소배출;절감에;기여하나요;재활용;재사용을;통해;온실가스
플랫폼 이용료는 어떻게 되나요?,"""기본 요금과 데이터 사용량에 따라 차등 부과되며, 상세 가격은 상담 후 결정됩니다.""",플랫폼;이용료는;어떻게;되나요;기본;요금과;데이터;사용량에
플랫폼 도입 시 비용은 어떻게 되나요?,"""기본 사용료는 무료이며, 고급 기능은 구독 플랜 또는 기업 맞춤형 계약이 필요합니다.""",플랫폼;도입;비용은;어떻게;되나요;기본;사용료는;무료이며
플랫폼 사용료는?,"""기본 사용료는 무료이며, 고급 기능은 구독 플랜 또는 기업 맞춤형 계약이 필요합니다.""",플랫폼;사용료는;기본;무료이며;고급;기능은;구독;플랜
수리 가능한 패널은 어떻게 판단하나요?,"""파손 정도가 경미하고 발전 효율이 기준 이상이면 수리 대상으로 분류됩니다.""",수리;가능한;패널은;어떻게;판단하나요;파손;정도가;경미하고
수리해야 하는 패널은 어떻게 아나요?,"""파손 정도가 경미하고 발전 효율이 기준 이상이면 수리 대상으로 분류됩니다.""",수리해야;하는;패널은;어떻게;아나요;파손;정도가;경미하고
보고서 갱신 주기는?,"""기본은 월간입니다. 기업 요청 시 주간·분기별 보고도 제공하며 별도의 비용이 청구될 수 있습니다.""",보고서;갱신;주기는;기본은;월간입니다;기업;요청;주간
수거 후 보고서에는 어떤 항목이 들어가나요?,"""수거 수량, 상태 분류 결과, 처리 방식, 예상 비용 및 수익 등을 포함합니다.""",수거;보고서에는;어떤;항목이;들어가나요;수량;상태;분류
예상 교체 비용은 어떻게 계산하나요?,"""패널 단가, 수거·운송비, 설치비 등을 종합해 연도별 비용을 산출합니다.""",예상;교체;비용은;어떻게;계산하나요;패널;단가;수거
재활용 시 수익이 발생하나요?,"""네, 자원 회수 가치에 따라 일부 비용이 환급되어 수익으로 전환됩니다.""",재활용;수익이;발생하나요;자원;회수;가치에;따라;일부
사업자는 어떤 정보를 등록해야 하나요?,"""사업장 주소, 패널 종류 및 수량, 설치 연도, 최근 발전량 등의 기본 정보가 필요합니다.""",사업자는;어떤;정보를;등록해야;하나요;사업장;주소;패널
여러 개의 발전소를 한 계정에서 관리할 수 있나요?,"""네, 한 계정에서 복수의 발전소를 등록·관리할 수 있습니다.""",여러;개의;발전소를;계정에서;관리할;있나요;복수의;등록
정부 보조금이나 지원 사업과 연동되나요?,"""일부 지역의 폐기물 처리 보조금과 연동이 가능하며 향후 확대 예정입니다.""",정부;보조금이나;지원;사업과;연동되나요;일부;지역의;폐기물
플랫폼은 어떤 기술 스택으로 만들어졌나요?,"""AI 분석, 클라우드 기반 저장소, API 연동 기술 등이 사용됩니다.""",AI;API;플랫폼은;어떤;기술;스택으로;만들어졌나요;분석
수거 요청 후 언제 처리되나요?,"""일반적으로 1~2주 이내 처리되며, 지역에 따라 달라질 수 있습니다.""",수거;요청;언제;처리되나요;일반적으로;이내;처리되며;지역에
수거 상태를 실시간으로 확인할 수 있나요?,"""네, 대시보드에서 수거 요청 상태 및 처리 현황을 실시간 확인할 수 있습니다.""",수거;상태를;실시간으로;확인할;있나요;대시보드에서;요청;상태
EPR이란?,"""EPR(Extended Producer Responsibility)은 생산자가 제품 폐기물의 회수와 재활용 책임을 지는 제도입니다.""",EPR;이란;Extended;Producer;Responsibility;생산자가;제품;폐기물의
EPR이 뭔가요?,"""EPR(Extended Producer Responsibility)은 생산자가 제품 폐기물의 회수와 재활용 책임을 지는 제도입니다.""",EPR;뭔가요;Extended;Producer;Responsibility;생산자가;제품;폐기물의
ESG란?,"""ESG는 환경(Environment), 사회(Social), 지배구조(Governance)를 고려한 지속가능 경영을 의미합니다.""",ESG;환경;Environment;사회;Social;지배구조;Governance;고려한
ESG는 뭔가요?,"""ESG는 환경(Environment), 사회(Social), 지배구조(Governance)를 고려한 지속가능 경영을 의미합니다.""",ESG;뭔가요;환경;Environment;사회;Social;지배구조;Governance
EPR 미이행 시 어떤 불이익이 있나요?,"""이행하지 않을 경우 과징금, 행정처분 등 법적 제재가 가해질 수 있습니다.""",EPR;미이행;어떤;불이익이;있나요;이행하지;않을;경우
AI가 성능 저하를 어떻게 판단하나요?,"""AI는 발전량 데이터, 이미지 분석, 기상 정보 등을 종합해 성능 저하를 예측합니다.""",AI;성능;저하를;어떻게;판단하나요;발전량;데이터;이미지
리포트는 어떤 형식으로 받을 수 있나요?,"""PDF, Excel 등 다양한 포맷으로 자동 생성되어 이메일이나 대시보드에서 확인할 수 있습니다.""",PDF;리포트는;어떤;형식으로;받을;있나요;Excel;다양한
교체와 수리의 기준은 어떻게 되나요?,"""경미한 손상은 수리, 심한 손상이나 성능 저하는 교체, 재활용 가능 시 별도 처리합니다.""",교체와;수리의;기준은;어떻게;되나요;경미한;손상은;수리
폐패널 하나당 재활용 환급액은 얼마인가요?,"""환경부 재활용 부과금 기준으로, 폐패널 재활용 단가는 1kg당 약 727원, 회수 단가는 94원으로 정해져 있습니다. 업체에 따라 기준이 다를 수 있습니다.""",폐패널;하나당;재활용;환급액은;얼마인가요;환경부;부과금;기준으로
여러 패널을 한 번에 등록할 수 있나요?,"""네, 일괄 등록 가능합니다.""",여러;패널을;번에;등록할;있나요;일괄;등록;가능합니다
데이터 보안은 어떻게 하나요?,"""모든 데이터는 암호화되어 저장되며, 접근 권한 관리가 엄격히 이루어집니다.""",데이터;보안은;어떻게;하나요;모든;데이터는;암호화되어;저장되며
모바일에서도 사용 가능한가요?,"""현재 웹으로만 지원 중이며 추후 모바일 앱까지 지원 예정입니다.""",모바일에서도;사용;가능한가요;현재;웹으로만;지원;중이며;추후
웹에서만 사용 가능한가요?,"""현재 웹으로만 지원 중이며 추후 모바일 앱까지 지원 예정입니다.""",웹에서만;사용;가능한가요;현재;웹으로만;지원;중이며;추후
폐기물관리법과 관련된 준수 사항이 있나요?,"""폐패널은 지정 폐기물로 분류되어 법령에 따른 수거, 운반, 처리 기준을 준수해야 합니다.""",폐기물관리법과;관련된;준수;사항이;있나요;폐패널은;지정;폐기물로
폐기물관리법과 관련해 지켜야 되는 게 있나요?,"""폐패널은 지정 폐기물로 분류되어 법령에 따른 수거, 운반, 처리 기준을 준수해야 합니다.""",폐기물관리법과;관련해;지켜야;되는;있나요;폐패널은;지정;폐기물로
재활용 업체는 어떻게 선정되나요?,"""제휴 업체 리스트를 기반으로 품질과 가격을 고려해 선택할 수 있습니다.""",재활용;업체는;어떻게;선정되나요;제휴;업체;리스트를;기반으로
재활용 업체 선정은 어떻게 하나요?,"""제휴 업체 리스트를 기반으로 품질과 가격을 고려해 선택할 수 있습니다.""",재활용;업체;선정은;어떻게;하나요;제휴;리스트를;기반으로
데모 버전 체험이 가능한가요?,"""네, 기업 인증 후 일정 기간 데모 서비스를 체험할 수 있습니다.""",데모;버전;체험이;가능한가요;기업;인증;일정;기간
체험 기간이 있나요?,"""네, 기업 인증 후 일정 기간 서비스를 체험할 수 있습니다.""",체험;기간이;있나요;기업;인증;일정;기간;서비스를
기술 지원은 어떻게 받을 수 있나요?,"""이메일, 전화, 온라인 헬프데스크를 통해 지원받을 수 있습니다.""",기술;지원은;어떻게;받을;있나요;이메일;전화;온라인
폐패널 상태 사진은 어떻게 업로드하나요?,"""웹에서 사진 업로드 기능을 통해 쉽고 빠르게 업로드할 수 있습니다.""",폐패널;상태;사진은;어떻게;업로드하나요;웹에서;사진;업로드
패널 이미지는 어떻게 업로드하나요?,"""웹에서 사진 업로드 기능을 통해 쉽고 빠르게 업로드할 수 있습니다.""",패널;이미지는;어떻게;업로드하나요;웹에서;사진;업로드;기능을
패널 사진은 어디에 올리나요?,"""웹에서 사진 업로드 기능을 통해 쉽고 빠르게 업로드할 수 있습니다.""",패널;사진은;어디에;올리나요;웹에서;사진;업로드;기능을
패널 설치일 정보가 없으면 어떻게 하나요?,"""설치일 미확인 시 AI가 예측 모델을 통해 대체 데이터를 산출합니다.""",AI;패널;설치일;정보가;없으면;어떻게;하나요;미확인
패널을 언제 설치했는지 모르면?,"""설치일 미확인 시 AI가 예측 모델을 통해 대체 데이터를 산출합니다.""",AI;패널을;언제;설치했는지;모르면;설치일;미확인;예측
기후 변화가 예측에 미치는 영향은 어떤가요?,"""기후 데이터를 반영해 발전량과 성능 저하 예측 정확도를 높입니다.""",기후;변화가;예측에;미치는;영향은;어떤가요;데이터를;반영해
패널 수명 연장은 가능한가요?,"""적절한 수리와 관리로 수명을 일부 연장할 수 있습니다.""",패널;수명;연장은;가능한가요;적절한;수리와;관리로;수명을
폐패널 관련 법령은 어디서 확인할 수 있나요?,"""환경부 및 지방자치단체의 공식 웹사이트에서 최신 법령을 확인할 수 있습니다.""",폐패널;관련;법령은;어디서;확인할;있나요;환경부;지방자치단체의
EPR 보고서 제출 기한은 언제인가요?,"""매년 정해진 기한 내에 환경부에 제출해야 하며, 플랫폼에서 알림 기능을 제공합니다.""",EPR;보고서;제출;기한은;언제인가요;매년;정해진;기한
EPR 보고서 제출 기한이 있나요?,"""매년 정해진 기한 내에 환경부에 제출해야 하며, 플랫폼에서 알림 기능을 제공합니다.""",EPR;보고서;제출;기한이;있나요;매년;정해진;기한
EPR 보고서는 언제 제출하나요?,"""매년 정해진 기한 내에 환경부에 제출해야 하며, 플랫폼에서 알림 기능을 제공합니다.""",EPR;보고서는;언제;제출하나요;매년;정해진;기한;내에
API 연동은 어떤 방식으로 하나요?,"""신규 데이터 반영과 알고리즘 개선을 위해 분기별 업데이트가 이루어집니다.""",API;연동은;어떤;방식으로;하나요;신규;데이터;반영과
폐패널 수거 후 처리 시간은 얼마나 걸리나요?,보통 1~2주 이내에 상태 분석과 처리 절차가 완료됩니다.,폐패널;수거;처리;시간은;얼마나;걸리나요;보통;이내에
패널 처리 기간은 얼마나 걸리나요?,"""보통 1~2주 이내에 상태 분석과 처리 절차가 완료됩니다.""",패널;처리;기간은;얼마나;걸리나요;보통;이내에;상태
고장 이력은 어떻게 관리되나요?,"""플랫폼에서 개별 패널별 고장 기록을 체계적으로 관리합니다.""",고장;이력은;어떻게;관리되나요;플랫폼에서;개별;패널별;기록을
AI 모델은 얼마나 자주 업데이트되나요?,"""신규 데이터 반영과 알고리즘 개선을 위해 분기별 업데이트가 이루어집니다.""",AI;모델은;얼마나;자주;업데이트되나요;신규;데이터;반영과
재활용 환급금은 어떻게 지급되나요?,"""지급 절차는 계약 조건에 따라 다르며, 계좌 이체 또는 크레딧 형태로 제공됩니다.""",재활용;환급금은;어떻게;지급되나요;지급;절차는;계약;조건에
패널 분류 정확도는 어느 정도인가요?,"""현재 AI 분류 정확도는 85~90%이며, 95% 이상을 목표로 하고 있습니다.""",AI;패널;분류;정확도는;어느;정도인가요;현재;85
플랫폼에서 제공하는 보고서 커스터마이징이 가능한가요?,"""네, 고객 요구에 따라 리포트 양식과 항목을 조정할 수 있습니다.""""",플랫폼에서;제공하는;보고서;커스터마이징이;가능한가요;고객;요구에;따라
다국어 지원이 되나요?,"""현재 한국어만 지원 중이며, 추후 다른 언어도 지원할 계획입니다.""",다국어;지원이;되나요;현재;한국어만;지원;중이며;추후
사용자 계정당 등록 가능한 패널 수는?,"""기본 1,000개이며, 추가 등록 시 별도 요금이 부과될 수 있습니다.""",사용자;계정당;등록;가능한;패널;수는;기본;000
배출자 정보에는 어떤 내용이 포함되나요?,"""배출자명(기업명), 사업자등록번호, 설치 주소(폐패널 발생 위치), 담당자명 및 연락처가 포함됩니다.""",배출자;정보에는;어떤;내용이;포함되나요;배출자명;기업명;사업자등록번호
폐패널 발생 정보에는 무엇이 들어가나요?,"""발생 기간(예: 2025년 1분기), 패널 모델명, 제조사, 설치일, 철거일, 총 수량(개), 총 무게(kg), 설치 당시 용량(kW) 등이 포함됩니다.""",폐패널;발생;정보에는;무엇이;들어가나요;기간;2025;분기
수거 및 처리 이력에 포함되는 항목은 무엇인가요?,"""수거 일자, 수거 업체명 및 연락처, 수거 장소, 운송 방법과 운송업체, 처리 일자, 처리 업체명, 처리 방식(재활용, 매립 등), 처리 결과 요약이 포함됩니다.""",수거;처리;이력에;포함되는;항목은;무엇인가요;일자;업체명
부품별 처리 내역은 어떻게 구성되나요?,"""부품명, 수거량(kg), 처리 방법, 재활용률(%), 유해물질 포함 여부로 구분되어 상세히 작성합니다.""",부품별;처리;내역은;어떻게;구성되나요;부품명;수거량;kg
유리의 처리 방법과 재활용률은 어떻게 되나요?,"""유리는 재활용 유리 분리 방식으로 처리하며, 재활용률은 약 95%이고 유해물질은 포함하지 않습니다.""",유리의;처리;방법과;재활용률은;어떻게;되나요;유리는;재활용
유리 처리 방법이 뭔가요?,"""유리는 재활용 유리 분리 방식으로 처리합니다.""",유리;처리;방법이;뭔가요;유리는;재활용;분리;방식으로
유리 재활용률은?,"""유리의 재활용률은 약 95%이고 유해물질은 포함하지 않습니다.""",유리;재활용률은;유리의;95;이고;유해물질은;포함하지;않습니다
프레임은 어떻게 처리되나요?,"""알루미늄 프레임은 재활용되며, 재활용률은 약 90%, 유해물질은 없습니다.""",프레임은;어떻게;처리되나요;알루미늄;재활용되며;재활용률은;90;유해물질은
실리콘 셀은 어떻게 처리되나요?,"""실리콘 셀은 회수 후 재활용 또는 폐기하며, 재활용률은 약 80%이고 납과 카드뮴 등의 유해물질이 포함될 가능성이 있습니다.""",실리콘;셀은;어떻게;처리되나요;회수;재활용;또는;폐기하며
EVA 부품은 어떻게 처리되나요?,"""EVA는 소각 처리하며 재활용률은 0%이고 유해물질은 포함하지 않습니다.""",EVA;부품은;어떻게;처리되나요;소각;처리하며;재활용률은;이고
접합재는 어떻게 처리되나요?,"""접합재는 안전 폐기 처리하며, 재활용률은 약 5%이고 일부 유해물질이 포함되어 있을 수 있습니다.""",접합재는;어떻게;처리되나요;안전;폐기;처리하며;재활용률은;이고
환경 영향 및 안전조치 내역에는 어떤 정보가 포함되나요?,"""유해물질 포함 여부(납, 카드뮴, 비소 등), 처리 시 발생하는 오염물(폐수, 배기가스 등), 환경안전 조치 이력(밀봉, 음압 처리 등)을 포함합니다.""",환경;영향;안전조치;내역에는;어떤;정보가;포함되나요;유해물질
환경 영향 및 안전조치 내역은?,"""유해물질 포함 여부(납, 카드뮴, 비소 등), 처리 시 발생하는 오염물(폐수, 배기가스 등), 환경안전 조치 이력(밀봉, 음압 처리 등)을 포함합니다.""",환경;영향;안전조치;내역은;유해물질;포함;여부;카드뮴
보고서 작성 정보에는 무엇이 포함되나요?,"""작성자 이름과 직책, 작성 일자, 보고서 제출 대상(예: 환경부, 지자체 등)이 포함됩니다.""",보고서;작성;정보에는;무엇이;포함되나요;작성자;이름과;직책
보고서 작성 정보에는 어떤 게 포함되나요?,"""작성자 이름과 직책, 작성 일자, 보고서 제출 대상(예: 환경부, 지자체 등)이 포함됩니다.""",보고서;작성;정보에는;어떤;포함되나요;작성자;이름과;직책
부품별 처리 내역을 포함해야 하는 이유는 무엇인가요?,"""정부 가이드라인과 EPR 실무 처리 방식에 따라 부품별로 구체적이고 상세한 처리 내역을 반드시 작성해야 하기 때문입니다.""",EPR;부품별;처리;내역을;포함해야;하는;이유는;무엇인가요
부품별 처리 내역을 꼭 포함해야 하나요?,"""정부 가이드라인과 EPR 실무 처리 방식에 따라 부품별로 구체적이고 상세한 처리 내역을 반드시 작성해야 하기 때문입니다.""",EPR;부품별;처리;내역을;포함해야;하나요;정부;가이드라인과
보고서 작성 시 가장 중요한 항목은 무엇인가요?,"""부품별 처리 내역과 환경 영향 및 안전조치 내역이 가장 핵심이며, 정확한 데이터를 기반으로 작성해야 합니다.""",보고서;작성;가장;중요한;항목은;무엇인가요;부품별;처리
보고서 작성할 때 중요한 것은?,"부품별 처리 내역과 환경 영향 및 안전조치 내역이 가장 핵심이며, 정확한 데이터를 기반으로 작성해야 합니다.",보고서;작성할;중요한;것은;부품별;처리;내역과;환경
